"Sample","Identifier","ID","Trophic","corrected d13C (VPDB)","corrected d15N (Air)","C (%)","N (%)"
"S01","Leech","Leech","Secondary Consumer",-23.09963,8.4065507,0.40303273385949,0.0919153718385345
"S02","Amphipods","Amphipods","Detritivore",-19.36557,8.8038812,0.40248050912287,0.0810312136447253
"S03","Stoneflies","Stoneflies","HerbivoreDetritivore",-26.5808,9.4174802,0.501913187901243,0.103173954449686
"S04","Mayflies","Mayflies","Herbivore",-24.37618,8.0685683,0.486460749228194,0.104327148630923
"S06","Wood","Wood","Detritus",-23.14924,10.4616044,0.444025301002653,0.0183164546106324
"S07","Algae","Algae","Primary Producer",-24.37739,9.0613916,0.224242414972905,0.0304769656746443
"S08","Caddis","Caddis","Detritivore",-29.51263,8.3964917,0.473403560216099,0.0908109193013028
"S09","Stoneflies","Stoneflies","HerbivoreDetritivore",-27.24509,8.8833473,0.487752511048614,0.10098409928763
"S11","Midges2","Midges","Detritivore",-26.01331,8.5000994,0.495602623373831,0.0967345869354751
"S12","Mayflies2","Mayflies","Herbivore",-26.20086,7.407692,0.455017349063151,0.0919555273597384
"S13","Stoneflies2","Stoneflies","HerbivoreDetritivore",-26.78287,10.5149171,0.470408216015026,0.107764102281245
"S14","Algae2","Algae","Primary Producer",-22.58175,8.6208074,0.216866141283165,0.02752470421638
"S15","Midges3","Midges","Detritivore",-25.86932,6.9379367,0.375897885120761,0.07826147100097
"S16","Stoneflies3","Stoneflies","HerbivoreDetritivore",-27.25356,9.6176543,0.493440235568998,0.10347828299577
"S17","Mayflies3","Mayflies","Herbivore",-26.42834,7.6752614,0.493669898062723,0.0975000223877127
"S18","Algae3","Algae","Primary Producer",-22.75115,8.5011053,0.164417067383483,0.0221914832265342
"S19","Trout","Trout","Apex",-27.47983,11.3337197,0.299848189579991,0.0889226090993409
